city,x,y
224,3857,-7727
225,4306,-7.857000e+03
226,3.852000e+03,122
227,4734,-9727
228,5021,3055
229,-2544,-5428
230,3944,-8617
231,4.059000e+03,2849
232,3817,2710
233,2130,3.912000e+03
234,4913,-212
235,4.038000e+03,-7.346000e+03
236,1133,4310
237,-609,10651
238,-2608,2815
239,-322,3.638000e+03
240,4528,-7344
241,1203,831
242,3.434000e+03,6912
243,6359,-2237
244,-158,3008
245,2234,12017
246,2454,6709
247,-618,15543
248,1.756000e+03,-7648
249,5005,1947
250,1536,3233
251,2742,8522
252,308,10133
253,2913,4758
254,-851,1314
255,1036,-6659
256,3604,-11509
257,3356,-11824
258,5352,-139
259,4858,227
260,27,925
261,3.452000e+03,3.338000e+03
262,4311,0
263,5949,3017
264,3651,-2.220000e+02
265,5124,1225
266,5125,1214
267,610,1.150000e+02
268,4046,-7352
269,3357,-11824
270,5038,527
271,5109,-11
272,5128,-27
273,5034,305
274,-1201,-7.707000e+03
275,4527,916
276,3846,-908
277,4613,1428
278,3.530000e+03,1237
279,4814,1411
280,5128,-27
281,635,320
282,2756,-1523
283,-1630,-6811
284,5321,-2.530000e+02
285,610,1.150000e+02
286,5153,-22
287,-2555,3.234000e+03
288,-1520,2827
289,4.270000e+02,11400
290,4937,612
291,-1.749000e+03,2549
292,2541,3243
293,4544,4.560000e+02
294,1300,8011
295,4029,-334
296,3152,-413
297,5321,-216
298,-304,-6000
299,1034,-7144
300,-4.020000e+02,3936
301,4622,1547
302,3918,-9444
303,2832,-8120
304,2336,5817
305,4425,850
306,-3744,14454
307,2431,3942
308,-3.741000e+03,14451
309,1.926000e+03,-9904
310,1207,-8611
311,2.010000e+02,4519
312,2548,-8017
313,2056,-8941
314,4527,916
315,3.545000e+03,1045
316,3907,-9436
317,3.552000e+03,1429
318,4.110000e+02,7.332000e+03
319,4745,726
320,5533,1322
321,5431,-125
322,1431,12101
323,5558,3725
324,4335,358
325,-2555,3.234000e+03
326,-858,12513
327,4326,513
328,-2.026000e+03,5741
329,5121,121
330,4453,-9313
331,5352,2733
332,5055,547
333,2959,-9016
334,-2631,3119
335,4808,1142
336,-3450,-5602
337,4538,843
338,4905,608
339,-1745,17727
340,4053,1418
341,2502,-7728
342,-119,3656
343,4340,713
344,5502,-141
345,4556,606
346,1208,1502
347,3256,12956
348,3.509000e+03,3617
349,1329,210
350,1.806000e+03,-1557
351,-1300,2839
352,5835,1.615000e+03
353,3.545000e+03,1.402300e+04
354,4709,-136
355,4930,1105
356,5241,117
357,4.038000e+03,-7.346000e+03
358,5528,1.020000e+03
359,4626,3041
360,2621,12746
361,3526,-9746
362,4054,931
363,4107,-9555
364,4114,-841
365,4159,-8754
366,5150,-8.290000e+02
367,2826,-8119
368,3.538000e+03,-37
369,4843,223
370,3447,1.352700e+04
371,6012,1105
372,5112,252
373,4434,2606
374,1221,-131
375,4326,-550
376,1834,-7217
377,4843,223
378,4.005000e+03,11636
379,-3156,11558
380,4.520000e+02,702
381,3708,-7630
382,3.952000e+03,-7.515000e+03
383,3326,-11201
384,5552,-426
385,4635,18
386,4.030000e+03,-8014
387,-515,3949
388,3933,244
389,3810,1306
390,1133,10451
391,3649,1158
392,-927,14713
393,1036,-6121
394,9.050000e+02,-7923
395,5006,1416
396,4341,1024
397,4226,1411
398,1616,-6132
399,9.030000e+02,-7.924000e+03
400,4323,-25
401,4539,1212
402,3137,-8.030000e+02
403,3403,-645
404,-808,-3.455000e+03
405,3804,1539
406,6408,-2157
407,1654,9609
408,4919,403
409,3.623000e+03,2807
410,-2943,-5342
411,-2250,-4315
412,4513,1435
413,4401,1237
414,4804,-144
415,614,-1.022000e+03
416,4149,1215
417,1410,14515
418,-3.255000e+03,-6047
419,5157,426
420,2442,4644
421,3.337000e+03,7306
422,630,-5815
423,1529,4413
424,1342,-8907
425,3244,-11711
426,-2300,-4708
427,2932,-9828
428,-1.756000e+03,3106
429,4831,-2480
430,-3.323000e+03,-7047
431,4254,-825
432,3314,4414
433,1.826000e+03,-6.940000e+03
434,4727,-12218
435,2700,1427
436,3733,12648
437,5134,42
438,-4.400000e+02,5531
439,3.737000e+03,-12223
440,3112,12120
441,2521,5524
442,1645,-2257
443,121,10354
444,3722,-12156
445,4349,1820
446,958,-8416
447,959,-8412
448,1.826000e+03,-6.601000e+03
449,4031,2258
450,4158,2138
451,4053,-11157
452,3658,-2510
453,5242,-8.550000e+02
454,4242,2324
455,4332,1618
456,-1254,-3.820000e+03
457,3.845000e+03,-9022
458,5133,1.400000e+01
459,5939,1755
460,4841,9.130000e+02
461,3854,1.615000e+03
462,5853,538
463,5558,3725
464,3726,-554
465,4832,738
466,5222,1330
467,-3356,15110
468,2933,5236
469,4748,1300
470,4031,1.724000e+03
471,4119,6.924000e+03
472,2829,-1620
473,3831,-2843
474,4311,0
475,2829,-1620
476,1402,-8714
477,5229,1324
478,3.541000e+03,5119
479,4120,1947
480,3240,1309
481,4337,123
482,3201,3453
483,2249,527
484,23,643
485,3543,-555
486,-1848,4729
487,3356,806
488,-2442,-5342
489,2504,12133
490,3.755000e+03,1229
491,5123,-2.430000e+02
492,4512,739
493,4550,1328
494,4539,1212
495,4726,43
496,3618,-9552
497,3651,1014
498,5234,1318
499,3533,13946
500,3554,-8353
501,4.062000e+03,1311
502,-8,-7.829000e+03
503,1241,10101
504,1345,-6057
505,4455,458
506,4314,2749
507,4530,1221
508,-2300,-4708
509,4807,1.633000e+03
510,3929,-2.900000e+01
511,4142,-451
512,4524,1053
513,3857,-7727
514,5210,2058
515,3.645000e+03,-604
516,5319,-11335
517,4453,-6331
518,4541,-7402
519,4519,-7.540000e+03
520,4648,-7.124000e+03
521,4216,-8258
522,4857,-5434
523,4528,-7344
524,4911,-12310
525,4955,-9714
526,5107,-11401
527,4737,-5245
528,4341,-7938
529,4406,1521
530,4545,1604
531,4140,-103
532,-613,3.913000e+03
533,4728,833
534,5133,1.400000e+01
535,2458,9153
